Timestamp,Retweets,Posts,Frequency
27/5/2022,0,2,2
26/5/2022,0,5,5
25/5/2022,0,9,9
24/5/2022,0,8,8
23/5/2022,0,2,2
22/5/2022,0,3,3
21/5/2022,0,7,7
20/5/2022,0,11,11
19/5/2022,0,4,4
18/5/2022,0,10,10
17/5/2022,1,3,4
16/5/2022,0,2,2
15/5/2022,0,1,1
14/5/2022,0,10,10
13/5/2022,0,6,6
12/5/2022,1,12,13
11/5/2022,1,13,14
10/5/2022,0,8,8
9/5/2022,0,8,8
8/5/2022,0,9,9
7/5/2022,1,12,13
6/5/2022,0,6,6
5/5/2022,0,3,3
