Text,AuthorID,ID,Timestamp
RT @emmaheussner: just walked out of harvard’s graduation because I didn’t want to listen to merrick garland talk about himself for 30 minu…,1059197545,1531087703722414080,2022-05-30T01:38:49.000Z
RT @Jakejcannon: Why did the medical helicopter leave for Uvalde and land before the shooting began? https://t.co/UbsNoTsY8t,1059197545,1531074068123987973,2022-05-30T00:44:38.000Z
"RT @TPostMillennial: After reporting brought the plans to light, the 86th Airlift Wing told The Post Millennial that the plans were scrappe…",1059197545,1531060414464856066,2022-05-29T23:50:23.000Z
RT @cjhall2101997: @Warlockyone @FoxNews And I thought they couldn't suck any more,1059197545,1531048133966417922,2022-05-29T23:01:35.000Z
RT @ConceptualJames: https://t.co/AGthjqcElU,1059197545,1531046523898937345,2022-05-29T22:55:11.000Z
@FoxNews WTF ???,1059197545,1531045140432838657,2022-05-29T22:49:41.000Z
"RT @FoxNews: Detroit Tigers funneling money for irreversible trans surgeries for kids
https://t.co/Yo1qndjXDe",1059197545,1531045100364734465,2022-05-29T22:49:32.000Z
RT @MidnightMitch: Maybe the @tigers can identify as a baseball team. https://t.co/xB7WaC7VIn,1059197545,1531045043716382721,2022-05-29T22:49:18.000Z
"RT @JamesBradleyCA: A Black guy shot up a subway.

A White guy shot up a supermarket.

A Latino guy shot up a school.

It’s not RACE and it…",1059197545,1531039734373523456,2022-05-29T22:28:12.000Z
RT @RealDante12: This really hurts 😢 https://t.co/tJEWqgftoH,1059197545,1531038477957185539,2022-05-29T22:23:13.000Z
"RT @MrAndyNgo: Graphic video warning.

The NYPD is seeking information about a masked male in black who randomly went on a knife stabbing a…",1059197545,1531037188707733507,2022-05-29T22:18:05.000Z
"@StephMillerShow I'm not crazy, you're crazy",1059197545,1531036637437775873,2022-05-29T22:15:54.000Z
"@bp22 All it takes is 16 hours of artificial light...

what's the carbon footprint on that ?",1059197545,1531035857590882304,2022-05-29T22:12:48.000Z
RT @BradPorcellato: Nancy Pelosi’s Husband Paul Arrested For DUI in Napa https://t.co/WWmMecYeMs,1059197545,1530989504617644034,2022-05-29T19:08:36.000Z
"@PoliticsInsider One eyed globalist cyclops

fire this sell out already",1059197545,1530989099888295937,2022-05-29T19:07:00.000Z
RT @DailyMail: Did FBI cover-up $400M Civil War gold find? https://t.co/Wy97pb6ZhH,1059197545,1530988924205686784,2022-05-29T19:06:18.000Z
