Text,AuthorID,Timestamp
"@DanRather It’s not our war, why should we pay for it? And don’t quote the Domino Theory, we know how well that worked in Vietnam.",1023607501890015232,2022-05-15T15:42:53.000Z
@DanRather Well put,1346539124862427141,2022-05-15T15:37:12.000Z
"@DanRather Ukraine is fighting and dying for all those that believe in good, fairness, equality and peace !
All support for Ukraine our weapons, money and prayers for them!",1461127103529852929,2022-05-15T15:17:04.000Z
"@DanRather Russia uses incendiary munitions on Azovstal Plant - Mariupol, Ukraine https://t.co/bSqjcVFjF0 via @YouTube",2990133024,2022-05-15T15:02:57.000Z
@DanRather I remember when you reported objectively in Vietnam. What happened.,1523363295536758787,2022-05-15T14:32:55.000Z
"@DanRather The war could have ended two months ago, but some politicians and forces in the EU and the US government have refused to let the two sides in the conflict sit down and talk about it. Instead, they have been encouraging and hypocritical.",1163753560649039872,2022-05-15T14:32:04.000Z
"@DanRather Why do you bitch about, Open borders here, unemployment here, food shortage here, high gas prices here, the real question is who the hell are you siding with? America 1st",1519475415206797318,2022-05-15T14:01:03.000Z
@DanRather If you are more concerned about Ukraine than American you might just be an idiot socialist.,107253364,2022-05-15T13:18:39.000Z
@DanRather How much of that money would really be used by Ukraine for war? How much money is going to someone’s pocket in US? Can you give weapon/supply list and their prices? Let’s see who is getting the US tax payers money.,1946859409,2022-05-15T13:12:38.000Z
@DanRather ******voting against in order to ask for accountability/transparency on how US citizen’s money is spent….is not the same as not wanting to send aid,264562573,2022-05-15T13:11:06.000Z
@DanRather No one is against sending aid to Ukraine. There just need to be an oversight on how that aid will be used!! Get you fact staright!,1910678292,2022-05-15T12:04:15.000Z
@DanRather I do believe in helping the Ukraine but it goes beyond my empathy. I believe the intelligence community is making gains it never could have before. I see light at the end of the tunnel through the vision of the five eyes intelligence family.,1493868207026941957,2022-05-15T11:34:59.000Z
@DanRather Half of the aid package is pork spending for democrats in disguise as covid aid.  How does that benefit Ukraine?,1431668289562894336,2022-05-15T11:19:08.000Z
"@DanRather 🇺🇦 ""We won't be enough for a long time - our aviation and artillery are not working, the command has thrown us...""

 A fresh appeal to Zelensky from a volunteer of the Armed Forces of Ukraine, located in the Donbass, who tells how the command sent them to slaughter. https://t.co/bBVq9sz4Jc",1452965995077939205,2022-05-15T11:06:21.000Z
